point_id,associated_feature,sample_point,lat,lon,floors,building_height_m,elevation_dem_m,elevation_dsm_m,notes
DSM053,block13,1,18.67119703,73.8908911,1,3.5,559.58,563.08,
DSM054,block13,2,18.67114202,73.89095607,1,3.5,559.43,562.93,
DSM055,block13,3,18.67117781,73.89103887,1,3.5,559.71,563.21,
DSM056,block13,4,18.67123343,73.89097085,1,3.5,559.3,562.8,
DSM057,apartment2,1,18.67133259,73.8911639,4,12.5,559.31,571.81,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM058,apartment2,2,18.67149807,73.89116838,4,12.5,558.53,571.03,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM059,apartment2,3,18.67143673,73.89100829,4,12.5,559.32,571.82,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM060,apartment2,4,18.67127603,73.89100204,4,12.5,559.32,571.82,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM061,apartment/shop+underground,1,18.6713704,73.89118997,4,12.5,559.01,571.51,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM062,apartment/shop+underground,2,18.67121541,73.89114523,4,12.5,559.57,572.07,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM063,apartment/shop+underground,3,18.67126803,73.89128644,4,12.5,559.1,571.6,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM064,apartment/shop+underground,4,18.67141506,73.89132638,4,12.5,558.52,571.02,"PLACEHOLDER: no floor count in source data, assumed for demo - replace with real floor-plan count"
DSM065,block14,1,18.67109346,73.89096011,3,9.5,560.02,569.52,
DSM066,block14,2,18.67103474,73.8911155,3,9.5,560.0,569.5,
DSM067,block14,3,18.67107208,73.89116619,3,9.5,559.42,568.92,
DSM068,block14,4,18.67112195,73.89100773,3,9.5,559.53,569.03,
DSM069,block15,1,18.67106449,73.89089713,2,6.5,560.06,566.56,
DSM070,block15,2,18.67102441,73.89099432,2,6.5,559.86,566.36,
DSM071,block15,3,18.67105217,73.89106256,2,6.5,559.55,566.05,
DSM072,block15,4,18.67108843,73.89096388,2,6.5,559.69,566.19,
DSM073,emptyspace1,1,18.6711586,73.89074838,0,0.0,559.59,559.59,"Vacant plot - no structure, DSM = DEM"
DSM074,emptyspace1,2,18.67126078,73.89066907,0,0.0,559.64,559.64,"Vacant plot - no structure, DSM = DEM"
DSM075,emptyspace1,3,18.67120258,73.89054122,0,0.0,559.06,559.06,"Vacant plot - no structure, DSM = DEM"
DSM076,emptyspace1,4,18.67110647,73.89061204,0,0.0,559.71,559.71,"Vacant plot - no structure, DSM = DEM"
DSM077,emptyspace2,1,18.67122881,73.89098841,0,0.0,559.47,559.47,"Vacant plot - no structure, DSM = DEM"
DSM078,emptyspace2,2,18.67116983,73.89114685,0,0.0,559.14,559.14,"Vacant plot - no structure, DSM = DEM"
DSM079,emptyspace2,3,18.67121318,73.89112436,0,0.0,559.19,559.19,"Vacant plot - no structure, DSM = DEM"
DSM080,emptyspace2,4,18.67128052,73.89096928,0,0.0,559.68,559.68,"Vacant plot - no structure, DSM = DEM"
