point_id,associated_feature,point_type,lat,lon,elevation_dem_m
DEM045,block11,edge_sample,18.67108183,73.89089437,559.61
DEM046,block11,edge_sample,18.6711101,73.89088573,559.78
DEM047,block11,edge_sample,18.67109887,73.89084548,559.93
DEM048,block11,edge_sample,18.67106802,73.89085829,559.78
DEM049,block12,edge_sample,18.6711338,73.89091934,559.53
DEM050,block12,edge_sample,18.67115736,73.89088119,559.82
DEM051,block12,edge_sample,18.67112804,73.89084761,559.63
DEM052,block12,edge_sample,18.67111257,73.89088745,559.48
DEM053,block13,edge_sample,18.67119703,73.8908911,559.58
DEM054,block13,edge_sample,18.67114202,73.89095607,559.43
DEM055,block13,edge_sample,18.67117781,73.89103887,559.71
DEM056,block13,edge_sample,18.67123343,73.89097085,559.3
DEM057,apartment2,edge_sample,18.67133259,73.8911639,559.31
DEM058,apartment2,edge_sample,18.67149807,73.89116838,558.53
DEM059,apartment2,edge_sample,18.67143673,73.89100829,559.32
DEM060,apartment2,edge_sample,18.67127603,73.89100204,559.32
DEM061,apartment/shop+underground,edge_sample,18.6713704,73.89118997,559.01
DEM062,apartment/shop+underground,edge_sample,18.67121541,73.89114523,559.57
DEM063,apartment/shop+underground,edge_sample,18.67126803,73.89128644,559.1
DEM064,apartment/shop+underground,edge_sample,18.67141506,73.89132638,558.52
DEM065,block14,edge_sample,18.67109346,73.89096011,560.02
DEM066,block14,edge_sample,18.67103474,73.8911155,560.0
DEM067,block14,edge_sample,18.67107208,73.89116619,559.42
DEM068,block14,edge_sample,18.67112195,73.89100773,559.53
DEM069,block15,edge_sample,18.67106449,73.89089713,560.06
DEM070,block15,edge_sample,18.67102441,73.89099432,559.86
DEM071,block15,edge_sample,18.67105217,73.89106256,559.55
DEM072,block15,edge_sample,18.67108843,73.89096388,559.69
DEM073,emptyspace1,edge_sample,18.6711586,73.89074838,559.59
DEM074,emptyspace1,edge_sample,18.67126078,73.89066907,559.64
DEM075,emptyspace1,edge_sample,18.67120258,73.89054122,559.06
DEM076,emptyspace1,edge_sample,18.67110647,73.89061204,559.71
DEM077,emptyspace2,edge_sample,18.67122881,73.89098841,559.47
DEM078,emptyspace2,edge_sample,18.67116983,73.89114685,559.14
DEM079,emptyspace2,edge_sample,18.67121318,73.89112436,559.19
DEM080,emptyspace2,edge_sample,18.67128052,73.89096928,559.68
DEM081,road1,road_sample,18.67092876,73.89069233,559.71
DEM082,road1,road_sample,18.67103598,73.8907467,559.65
DEM083,road1,road_sample,18.67114319,73.89080106,559.4
DEM084,road1,road_sample,18.67125041,73.89085542,559.23
DEM085,road1,road_sample,18.67135763,73.89090978,559.26
DEM086,road1,road_sample,18.67146485,73.89096414,559.33
DEM087,path2,road_sample,18.67180377,73.89072527,558.53
DEM088,path2,road_sample,18.6717457,73.89085058,558.7
DEM089,path2,road_sample,18.67168763,73.8909759,558.96
DEM090,path2,road_sample,18.67162956,73.89110121,558.58
DEM091,path2,road_sample,18.6715715,73.89122653,558.7
DEM092,path2,road_sample,18.67151343,73.89135184,558.17
DEM093,open_ground,fill_grid,18.67085195,73.89056391,560.15
DEM094,open_ground,fill_grid,18.67085195,73.89068568,560.29
DEM095,open_ground,fill_grid,18.67085195,73.89080744,560.48
DEM096,open_ground,fill_grid,18.67085195,73.89092921,560.38
DEM097,open_ground,fill_grid,18.67085195,73.89105097,559.84
DEM098,open_ground,fill_grid,18.67085195,73.89117274,559.8
DEM099,open_ground,fill_grid,18.67085195,73.89129451,559.61
DEM100,open_ground,fill_grid,18.67085195,73.89141627,559.14
DEM101,open_ground,fill_grid,18.67098661,73.89068568,560.16
DEM102,open_ground,fill_grid,18.67098661,73.89105097,560.14
DEM103,open_ground,fill_grid,18.67098661,73.89117274,559.8
DEM104,open_ground,fill_grid,18.67098661,73.89129451,559.5
DEM105,open_ground,fill_grid,18.67098661,73.89141627,559.35
DEM106,open_ground,fill_grid,18.67112126,73.89056391,559.31
DEM107,open_ground,fill_grid,18.67112126,73.89080744,559.97
DEM108,open_ground,fill_grid,18.67112126,73.89105097,559.68
DEM109,open_ground,fill_grid,18.67112126,73.89117274,559.38
DEM110,open_ground,fill_grid,18.67112126,73.89129451,559.15
DEM111,open_ground,fill_grid,18.67112126,73.89141627,559.06
DEM112,open_ground,fill_grid,18.67125591,73.89056391,559.48
DEM113,open_ground,fill_grid,18.67125591,73.89068568,559.53
DEM114,open_ground,fill_grid,18.67125591,73.89129451,558.78
DEM115,open_ground,fill_grid,18.67125591,73.89141627,558.7
DEM116,open_ground,fill_grid,18.67139056,73.89056391,558.7
DEM117,open_ground,fill_grid,18.67139056,73.89068568,559.4
DEM118,open_ground,fill_grid,18.67139056,73.89092921,559.26
DEM119,open_ground,fill_grid,18.67139056,73.89141627,558.68
DEM120,open_ground,fill_grid,18.67152521,73.89056391,558.73
DEM121,open_ground,fill_grid,18.67152521,73.89068568,559.13
DEM122,open_ground,fill_grid,18.67152521,73.89080744,558.72
DEM123,open_ground,fill_grid,18.67152521,73.89105097,558.98
DEM124,open_ground,fill_grid,18.67152521,73.89117274,558.9
DEM125,open_ground,fill_grid,18.67152521,73.89129451,558.69
DEM126,open_ground,fill_grid,18.67152521,73.89141627,558.16
DEM127,open_ground,fill_grid,18.67165986,73.89056391,558.31
DEM128,open_ground,fill_grid,18.67165986,73.89068568,558.91
DEM129,open_ground,fill_grid,18.67165986,73.89092921,559.02
DEM130,open_ground,fill_grid,18.67165986,73.89105097,558.84
DEM131,open_ground,fill_grid,18.67165986,73.89117274,558.77
DEM132,open_ground,fill_grid,18.67165986,73.89129451,558.07
DEM133,open_ground,fill_grid,18.67165986,73.89141627,558.26
DEM134,open_ground,fill_grid,18.67179451,73.89056391,558.48
DEM135,open_ground,fill_grid,18.67179451,73.89068568,558.42
DEM136,open_ground,fill_grid,18.67179451,73.89080744,558.46
DEM137,open_ground,fill_grid,18.67179451,73.89092921,558.74
DEM138,open_ground,fill_grid,18.67179451,73.89105097,558.5
DEM139,open_ground,fill_grid,18.67179451,73.89117274,558.64
DEM140,open_ground,fill_grid,18.67179451,73.89129451,558.35
DEM141,open_ground,fill_grid,18.67179451,73.89141627,558.01
